dateTime,total,nonRenew,renew,wind,solar,renewP,nonRenewP,created_at,updated_at,year_total_renew
1/1/2021 12:00:00 AM,2716.37,2106.93,609.44,609.44,0,22.44,77.56,2023-02-27 13:22,2023-02-27 13:22,609.44
1/1/2021 1:00:00 AM,2630.61,2101.61,529,529,0,20.11,79.89,2023-02-27 13:22,2023-02-27 13:22,1138.44
1/1/2021 2:00:00 AM,2649.48,2074.87,574.61,459.75,114.86,21.69,78.31,2023-02-27 13:22,2023-02-27 13:22,1713.05
1/1/2021 3:00:00 AM,2456.93,2117.22,339.71,338.89,0.82,13.83,86.17,2023-02-27 13:22,2023-02-27 13:22,2052.76
1/1/2021 4:00:00 AM,2409.56,2175.07,234.49,234.49,0,9.73,90.27,2023-02-27 13:22,2023-02-27 13:22,2287.25
1/1/2021 5:00:00 AM,2644.07,2005.7,638.37,638.37,0,24.14,75.86,2023-02-27 13:22,2023-02-27 13:22,2925.62
1/1/2021 6:00:00 AM,2648.27,2073.39,574.88,574.88,0,21.71,78.29,2023-02-27 13:22,2023-02-27 13:22,3500.5
1/1/2021 7:00:00 AM,2560.85,2111.25,449.6,449.6,0,17.56,82.44,2023-02-27 13:22,2023-02-27 13:22,3950.1
1/1/2021 8:00:00 AM,2376.33,2147.05,229.28,229.28,0,9.65,90.35,2023-02-27 13:22,2023-02-27 13:22,4179.38
1/1/2021 9:00:00 AM,2465.45,2361.16,104.29,104.29,0,4.23,95.77,2023-02-27 13:22,2023-02-27 13:22,4283.67
1/1/2021 10:00:00 AM,2542.67,2378.57,164.1,164.1,0,6.45,93.55,2023-02-27 13:22,2023-02-27 13:22,4447.77
1/1/2021 11:00:00 AM,2590.85,2296.36,294.49,294.49,0,11.37,88.63,2023-02-27 13:22,2023-02-27 13:22,4742.26
1/1/2021 12:00:00 PM,2615.7,2223.31,392.39,385.88,6.51,15,85,2023-02-27 13:22,2023-02-27 13:22,5134.65
1/1/2021 1:00:00 PM,2665.72,2409.21,256.51,256.05,0.46,9.62,90.38,2023-02-27 13:22,2023-02-27 13:22,5391.16
1/1/2021 2:00:00 PM,2650.71,2248.58,402.13,400.96,1.17,15.17,84.83,2023-02-27 13:22,2023-02-27 13:22,5793.29
1/1/2021 3:00:00 PM,2756.85,2128.23,628.62,626.86,1.76,22.8,77.2,2023-02-27 13:22,2023-02-27 13:22,6421.91
1/1/2021 4:00:00 PM,2830.54,2722.28,108.26,108.26,0,3.82,96.18,2023-02-27 13:22,2023-02-27 13:22,6530.17
1/1/2021 5:00:00 PM,2856.87,2235.36,621.51,621.51,0,21.75,78.25,2023-02-27 13:22,2023-02-27 13:22,7151.68
1/1/2021 6:00:00 PM,2760.97,2276.96,484.01,484.01,0,17.53,82.47,2023-02-27 13:22,2023-02-27 13:22,7635.69
1/1/2021 7:00:00 PM,2649.8,2493.3,156.5,156.5,0,5.91,94.09,2023-02-27 13:22,2023-02-27 13:22,7792.19
1/1/2021 8:00:00 PM,2589.17,2444.81,144.36,144.36,0,5.58,94.42,2023-02-27 13:22,2023-02-27 13:22,7936.55
1/1/2021 9:00:00 PM,2499.02,2311.08,187.94,187.94,0,7.52,92.48,2023-02-27 13:22,2023-02-27 13:22,8124.49
1/1/2021 10:00:00 PM,2442.51,2304.43,138.08,48.83,89.25,5.65,94.35,2023-02-27 13:22,2023-02-27 13:22,8262.57
1/1/2021 11:00:00 PM,2386.55,2350.51,36.04,14.55,21.49,1.51,98.49,2023-02-27 13:22,2023-02-27 13:22,8298.61
1/2/2021 12:00:00 AM,2357.09,2310.66,46.43,46.43,0,1.97,98.03,2023-02-27 13:22,2023-02-27 13:22,8345.04
1/2/2021 1:00:00 AM,2337.3,2337.3,0,0,0,0,100,2023-02-27 13:22,2023-02-27 13:22,8345.04
1/2/2021 2:00:00 AM,2288.98,2288.98,0,0,0,0,100,2023-02-27 13:22,2023-02-27 13:22,8345.04
1/2/2021 3:00:00 AM,2245.68,2245.68,0,0,0,0,100,2023-02-27 13:22,2023-02-27 13:22,8345.04
1/2/2021 4:00:00 AM,2225.77,2225.77,0,0,0,0,100,2023-02-27 13:22,2023-02-27 13:22,8345.04
1/2/2021 5:00:00 AM,2251.96,2251.96,0,0,0,0,100,2023-02-27 13:22,2023-02-27 13:22,8345.04
1/2/2021 6:00:00 AM,2316.61,2316.61,0,0,0,0,100,2023-02-27 13:22,2023-02-27 13:22,8345.04
1/2/2021 7:00:00 AM,2372.83,2372.83,0,0,0,0,100,2023-02-27 13:22,2023-02-27 13:22,8345.04
1/2/2021 8:00:00 AM,2431.8,2431.8,0,0,0,0,100,2023-02-27 13:22,2023-02-27 13:22,8345.04
1/2/2021 9:00:00 AM,2564.52,2541.76,22.76,20.93,1.83,0.89,99.11,2023-02-27 13:22,2023-02-27 13:22,8367.8
1/2/2021 10:00:00 AM,2643.53,2520.5,123.03,123.03,0,4.65,95.35,2023-02-27 13:22,2023-02-27 13:22,8490.83
1/2/2021 11:00:00 AM,2728.28,2546.42,181.86,181.35,0.51,6.67,93.33,2023-02-27 13:22,2023-02-27 13:22,8672.69
1/2/2021 12:00:00 PM,2703.78,2683.38,20.4,20.37,0.03,0.75,99.25,2023-02-27 13:22,2023-02-27 13:22,8693.09
1/2/2021 1:00:00 PM,2725.21,2670.04,55.17,55,0.17,2.02,97.98,2023-02-27 13:22,2023-02-27 13:22,8748.26
1/2/2021 2:00:00 PM,2736.85,2626.36,110.49,108.69,1.8,4.04,95.96,2023-02-27 13:22,2023-02-27 13:22,8858.75
1/2/2021 3:00:00 PM,2780.88,2437.45,343.43,337.66,5.77,12.35,87.65,2023-02-27 13:22,2023-02-27 13:22,9202.18
1/2/2021 4:00:00 PM,2842.51,2531.8,310.71,310.71,0,10.93,89.07,2023-02-27 13:22,2023-02-27 13:22,9512.89
1/2/2021 5:00:00 PM,2887.48,2594.65,292.83,292.83,0,10.14,89.86,2023-02-27 13:22,2023-02-27 13:22,9805.72
1/2/2021 6:00:00 PM,2859.54,2624.2,235.34,172.15,63.19,8.23,91.77,2023-02-27 13:22,2023-02-27 13:22,10041.06
1/2/2021 7:00:00 PM,2799.81,2729.23,70.58,70.26,0.32,2.52,97.48,2023-02-27 13:22,2023-02-27 13:22,10111.64
1/2/2021 8:00:00 PM,2728.69,2492.12,236.57,236.57,0,8.67,91.33,2023-02-27 13:22,2023-02-27 13:22,10348.21
1/2/2021 9:00:00 PM,2722.36,2219.04,503.32,503.32,0,18.49,81.51,2023-02-27 13:22,2023-02-27 13:22,10851.53
1/2/2021 10:00:00 PM,2620.14,2405.17,214.97,214.97,0,8.2,91.8,2023-02-27 13:22,2023-02-27 13:22,11066.5
1/2/2021 11:00:00 PM,2560.83,2468.88,91.95,91.95,0,3.59,96.41,2023-02-27 13:22,2023-02-27 13:22,11158.45
1/3/2021 12:00:00 AM,2471.05,2359.99,111.06,111.06,0,4.49,95.51,2023-02-27 13:22,2023-02-27 13:22,11269.51
1/3/2021 1:00:00 AM,2590.79,2102.44,488.35,488.35,0,18.85,81.15,2023-02-27 13:22,2023-02-27 13:22,11757.86
1/3/2021 2:00:00 AM,2785.14,2117.32,667.82,667.82,0,23.98,76.02,2023-02-27 13:22,2023-02-27 13:22,12425.68
1/3/2021 3:00:00 AM,2539.29,2153.93,385.36,385.36,0,15.18,84.82,2023-02-27 13:22,2023-02-27 13:22,12811.04
1/3/2021 4:00:00 AM,2377.09,2177.31,199.78,111.78,88,8.4,91.6,2023-02-27 13:22,2023-02-27 13:22,13010.82
1/3/2021 5:00:00 AM,2468.98,2161.94,307.04,239.98,67.06,12.44,87.56,2023-02-27 13:22,2023-02-27 13:22,13317.86
1/3/2021 6:00:00 AM,2653.53,2148.29,505.24,505.24,0,19.04,80.96,2023-02-27 13:22,2023-02-27 13:22,13823.1
1/3/2021 7:00:00 AM,2455.67,2308.76,146.91,146.91,0,5.98,94.02,2023-02-27 13:22,2023-02-27 13:22,13970.01
1/3/2021 8:00:00 AM,2495.77,2261.46,234.31,234.31,0,9.39,90.61,2023-02-27 13:22,2023-02-27 13:22,14204.32
1/3/2021 9:00:00 AM,2592.52,2374.47,218.05,218.05,0,8.41,91.59,2023-02-27 13:22,2023-02-27 13:22,14422.37
1/3/2021 10:00:00 AM,2693.13,2665.11,28.02,28.02,0,1.04,98.96,2023-02-27 13:22,2023-02-27 13:22,14450.39
1/3/2021 11:00:00 AM,2756.71,2756.71,0,0,0,0,100,2023-02-27 13:22,2023-02-27 13:22,14450.39
1/3/2021 12:00:00 PM,2754.35,2754.35,0,0,0,0,100,2023-02-27 13:22,2023-02-27 13:22,14450.39
1/3/2021 1:00:00 PM,2806.64,2781.74,24.9,24.83,0.07,0.89,99.11,2023-02-27 13:22,2023-02-27 13:22,14475.29
1/3/2021 2:00:00 PM,2783.42,2674.13,109.29,92.03,17.26,3.93,96.07,2023-02-27 13:22,2023-02-27 13:22,14584.58
1/3/2021 3:00:00 PM,2822.91,2731.67,91.24,84.09,7.15,3.23,96.77,2023-02-27 13:22,2023-02-27 13:22,14675.82
